iter	MAE	RMSE
387	0.1553527262	0.2019392338
388	0.1553462382	0.2019320923
389	0.1553126171	0.2018902556
390	0.1552679174	0.2018361384
391	0.1552194777	0.201772456
392	0.1551501025	0.2016876694
393	0.1550922964	0.2016252709
394	0.1550582343	0.2015770982
395	0.1550125869	0.2015210351
396	0.1549758465	0.2014838045
397	0.1549351018	0.2014373675
398	0.1548915246	0.2013752028
399	0.154831404	0.2012968398
400	0.1547887504	0.2012437803
401	0.1547495438	0.2012017416
402	0.1547140462	0.2011636855
403	0.1546834975	0.2011274818
404	0.1546478432	0.2010872314
405	0.1545632983	0.2009866869
406	0.1545035794	0.2009169763
407	0.1544475018	0.200851191
408	0.1544075097	0.2008042832
409	0.1543721398	0.2007684567
410	0.1543405687	0.2007298314
411	0.1542984973	0.2006729174
412	0.1542595445	0.2006257889
413	0.1542232692	0.2005868428
414	0.1541987867	0.2005603742
415	0.1541626165	0.2005199568
416	0.1541159796	0.2004647011
417	0.1540732269	0.2004154876
418	0.1540066843	0.2003382043
419	0.1539679908	0.2002988369
420	0.153912722	0.2002356751
421	0.1538749165	0.2001859839
422	0.1538403	0.2001475517
423	0.1537867143	0.2000824682
424	0.1537563926	0.2000489351
425	0.1537153422	0.2000062043
426	0.1536657683	0.1999460465
427	0.1536376373	0.1999119196
428	0.1536102767	0.1998787308
429	0.1535757262	0.1998410198
430	0.1535206892	0.1997717484
431	0.1534899763	0.1997379823
432	0.1534622294	0.1997050263
433	0.1534256702	0.1996624215
434	0.1533905704	0.1996201554
435	0.1533506179	0.1995747396
436	0.153326157	0.1995455235
437	0.1532828545	0.1994919021
438	0.1532260863	0.1994224061
439	0.153183398	0.1993697353
440	0.1531577268	0.1993421074
441	0.1531295862	0.1993130117
442	0.1531025589	0.1992811162
443	0.1530731078	0.1992456039
444	0.1530379664	0.1992056221
445	0.1529948561	0.1991596029
446	0.1529699851	0.1991259931
447	0.1529320321	0.1990833039
448	0.1529012598	0.1990506661
449	0.1528640223	0.1990044325
450	0.1528224878	0.1989566572
451	0.1527928306	0.1989192922
452	0.1527787929	0.1989047722
453	0.1527138359	0.1988208448
454	0.1526861666	0.1987855188
455	0.152662117	0.1987572823
456	0.1526401831	0.1987351234
457	0.1526036823	0.1986977425
458	0.1525705118	0.198655954
459	0.1525411766	0.198624826
460	0.1524937569	0.1985698117
461	0.1524538988	0.1985197753
462	0.1524246553	0.1984874781
463	0.1523944611	0.1984492244
464	0.1523545044	0.1984074304
465	0.1523146998	0.19836893
466	0.1522829416	0.1983288839
467	0.1522645585	0.1983069689
468	0.1522385588	0.1982799313
469	0.152233989	0.198274729
470	0.1522091332	0.1982444825
471	0.1521775203	0.1982124228
472	0.1521371313	0.1981627015
473	0.1521331066	0.1981586765
474	0.1521022581	0.1981212586
475	0.1520664812	0.1980826767
476	0.152047139	0.19805572
477	0.1519980169	0.1979993868
478	0.1519680236	0.1979628324
479	0.1519002655	0.1978827041
480	0.1518646743	0.1978329904
481	0.1518298996	0.1977953057
482	0.1518006538	0.197761179
483	0.1517629816	0.1977163147
484	0.1517447108	0.1976897542
485	0.1517208257	0.1976627139
486	0.1516826015	0.1976123145
487	0.1516429329	0.1975679625
488	0.1516159778	0.1975371661
489	0.1515822118	0.1974921436
490	0.1515673332	0.1974728009
491	0.1515359077	0.1974402914
492	0.1515075417	0.1974068657
493	0.1514731205	0.1973650582
494	0.1514342183	0.1973185246
495	0.1514000357	0.1972726339
496	0.1513751599	0.1972400933
497	0.1513134886	0.1971687444
498	0.1512669222	0.1971100048
499	0.1512336301	0.1970733442
500	0.1512046221	0.1970408699
501	0.1511452768	0.1969637525
502	0.1511104005	0.1969165094
503	0.1510734444	0.1968777098
504	0.1510431806	0.196840482
505	0.151017193	0.196809577
506	0.1509948178	0.1967853253
